epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.32767,2.55364,4.03403,2.14233,0.00285,0.63333,0.00347,0.0013,2.57683,4.1492,2.50946,0.000444533,0.000444533,0.000444533
2,6.07488,2.56085,4.04727,2.15951,0.00282,0.63333,0.00374,0.00131,2.56844,4.12053,2.49003,0.000995249,0.000995249,0.000995249
3,7.94566,2.24568,3.82099,2.03508,0.00376,0.75833,0.03908,0.01242,1.70147,3.82167,1.68281,0.00154046,0.00154046,0.00154046
4,10.3876,1.87606,3.85689,1.79814,0.00426,0.85,0.34719,0.18109,1.53353,3.69847,1.57277,0.00164225,0.00164225,0.00164225
5,12.1618,1.85666,4.11129,1.80338,0.00405,0.78333,0.10278,0.04185,1.94254,3.926,1.86547,0.00163399,0.00163399,0.00163399
6,13.9282,1.81744,2.97582,1.63404,0.00482,0.96667,0.00778,0.00266,1.88019,3.96762,2.39552,0.00162574,0.00162574,0.00162574
7,15.8801,1.82885,2.78544,1.6838,0.00461,0.925,0.02346,0.00554,2.34864,5.80739,2.64294,0.00161749,0.00161749,0.00161749
8,17.9266,1.63658,2.54307,1.58267,0.00413,0.675,0.00412,0.00128,2.89035,4.97213,3.52685,0.00160924,0.00160924,0.00160924
9,19.9377,1.48115,2.15825,1.43448,0.00167,0.4,0.0144,0.00414,3.05757,4.45828,4.96098,0.00160099,0.00160099,0.00160099
10,21.9106,1.41608,1.95481,1.41101,0.52377,0.20833,0.03288,0.0146,2.87778,4.53971,4.79426,0.00159274,0.00159274,0.00159274
11,23.7696,1.37252,1.64603,1.33674,0.55956,0.125,0.0767,0.04767,2.52957,4.44682,3.79549,0.00158448,0.00158448,0.00158448
12,25.6049,1.27671,1.54517,1.24296,0.5143,0.04167,0.01598,0.00703,2.54724,4.3562,3.69961,0.00157623,0.00157623,0.00157623
13,27.4606,1.30739,1.43287,1.31329,0.57958,0.30812,0.29467,0.15607,2.33466,3.72752,2.84331,0.00156798,0.00156798,0.00156798
14,29.3392,1.30546,1.43708,1.3415,0.74021,0.21616,0.34291,0.19103,1.98908,3.44435,1.99525,0.00155973,0.00155973,0.00155973
15,31.3924,1.22908,1.31281,1.24347,1,0.33419,0.70744,0.45286,1.74764,2.87762,1.62803,0.00155148,0.00155148,0.00155148
16,33.5925,1.21752,1.29689,1.26794,0.9903,0.60307,0.71059,0.472,1.76712,2.7348,1.76714,0.00154323,0.00154323,0.00154323
17,35.5626,1.13181,1.25503,1.22789,0.85384,0.71701,0.81886,0.4971,1.59156,2.17955,1.49653,0.00153497,0.00153497,0.00153497
18,37.9489,1.13916,1.1635,1.20414,0.96417,0.75,0.88199,0.53043,1.52027,1.79454,1.51507,0.00152672,0.00152672,0.00152672
