epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,122.723,1.01596,0.90378,1.17188,0.99504,0.95833,0.95516,0.70562,0.91751,1.12174,1.13369,0.00132868,0.00132868,0.00132868
43,125.254,0.98445,0.83102,1.12858,0.99437,0.95833,0.95622,0.69088,1.03285,1.13397,1.14793,0.00132043,0.00132043,0.00132043
44,127.86,1.04396,0.90494,1.14739,0.99693,0.95813,0.95663,0.68484,1.11267,1.02235,1.19258,0.00131218,0.00131218,0.00131218
45,130.314,1.04197,0.89625,1.12294,0.94385,0.95833,0.95331,0.73886,0.90549,0.8767,1.04076,0.00130393,0.00130393,0.00130393
46,132.877,1.01982,0.90477,1.17186,0.94419,0.95661,0.96337,0.73418,0.88643,0.77712,1.05986,0.00129568,0.00129568,0.00129568
47,135.553,1.01097,0.88835,1.14628,1,0.9441,0.96871,0.71289,0.97186,0.82497,1.1632,0.00128742,0.00128742,0.00128742
48,138.129,1.03087,0.87275,1.13568,1,0.93505,0.96314,0.71649,0.98985,0.80923,1.1891,0.00127917,0.00127917,0.00127917
49,140.669,0.9192,0.77726,1.07552,0.99447,0.93721,0.95536,0.70411,1.04304,0.84174,1.15566,0.00127092,0.00127092,0.00127092
50,143.204,0.98126,0.81418,1.08766,0.99486,0.95833,0.9552,0.69719,1.07157,0.83977,1.22247,0.00126267,0.00126267,0.00126267
51,145.78,0.94087,0.76987,1.06912,0.99378,0.95833,0.95525,0.68666,1.05756,0.96993,1.24084,0.00125442,0.00125442,0.00125442
52,148.238,0.94576,0.74241,1.094,0.95589,0.925,0.94025,0.68232,1.04716,1.01537,1.24438,0.00124617,0.00124617,0.00124617
53,151.002,0.99361,0.82101,1.12329,0.98281,0.95833,0.955,0.708,0.98173,0.898,1.22656,0.00123791,0.00123791,0.00123791
54,153.477,0.95713,0.80931,1.14255,0.99077,0.95833,0.95527,0.73815,0.96048,0.84886,1.20379,0.00122966,0.00122966,0.00122966
55,156.174,0.94215,0.79366,1.10643,0.99366,0.95716,0.95536,0.72606,1.02866,0.8643,1.21617,0.00122141,0.00122141,0.00122141
56,158.624,0.95144,0.75955,1.09711,0.99572,0.95752,0.95524,0.72108,0.97161,0.80897,1.18948,0.00121316,0.00121316,0.00121316
57,161.162,0.96338,0.78979,1.11323,0.99606,0.95833,0.95517,0.73195,0.82383,0.78823,0.99377,0.00120491,0.00120491,0.00120491
58,163.72,0.90504,0.70898,1.07615,0.99396,0.95833,0.95517,0.73856,0.85017,0.79328,1.03109,0.00119666,0.00119666,0.00119666
59,166.285,0.94689,0.70666,1.06316,0.98514,0.95833,0.955,0.73018,0.85354,0.82648,1.05571,0.0011884,0.0011884,0.0011884
60,168.786,0.85343,0.71618,1.03031,0.98622,0.95833,0.955,0.73224,0.83705,0.81396,1.05086,0.00118015,0.00118015,0.00118015
61,171.381,0.94178,0.7537,1.09264,0.99171,0.95833,0.9648,0.72061,0.81414,0.81153,1.01922,0.0011719,0.0011719,0.0011719
62,174.765,0.88172,0.70104,1.06316,0.96295,0.92707,0.96813,0.72044,0.94844,0.85449,1.12421,0.00116365,0.00116365,0.00116365
63,177.229,0.93921,0.73674,1.08971,0.98068,0.925,0.96861,0.68846,1.03068,0.84771,1.21025,0.0011554,0.0011554,0.0011554
64,179.816,0.90759,0.76151,1.08187,0.98973,0.95833,0.96616,0.72427,0.89417,0.83164,1.13438,0.00114715,0.00114715,0.00114715
65,182.499,0.9096,0.70638,1.07922,0.9937,0.95833,0.967,0.73278,0.95081,0.76888,1.19437,0.00113889,0.00113889,0.00113889
66,184.965,1.03397,0.74278,1.14935,0.99099,0.95827,0.96833,0.73096,0.99758,0.74322,1.26725,0.00113064,0.00113064,0.00113064
67,187.649,0.87616,0.64204,1.03169,0.9883,0.95727,0.97,0.72282,1.14631,0.75363,1.35151,0.00112239,0.00112239,0.00112239
68,190.08,0.91724,0.68388,1.121,0.98946,0.95741,0.96441,0.71529,1.09213,0.71466,1.33387,0.00111414,0.00111414,0.00111414
69,192.945,0.8929,0.67867,1.11459,0.99533,0.95833,0.9556,0.70817,1.09657,0.76431,1.28459,0.00110589,0.00110589,0.00110589
70,195.653,0.9539,0.69358,1.08744,0.9895,0.95833,0.95525,0.67606,1.12947,0.7688,1.3165,0.00109764,0.00109764,0.00109764
71,199.012,0.9374,0.72182,1.12147,0.98912,0.95833,0.955,0.64577,1.1894,0.71498,1.36932,0.00108938,0.00108938,0.00108938
72,201.679,0.84849,0.64187,1.04687,0.99365,0.95833,0.955,0.66858,1.20912,0.83145,1.3229,0.00108113,0.00108113,0.00108113
