epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.95725,2.91772,6.3216,2.9468,0.01901,0.29167,0.0149,0.00258,3.42188,7.50856,3.36949,0.0005001,0.0005001,0.0005001
2,13.0531,2.97607,6.07202,2.925,0.03178,0.125,0.01555,0.00329,3.58727,7.25782,3.63723,0.00105054,0.00105054,0.00105054
3,16.9903,2.63748,8.39676,2.51099,0.00029,0.125,8e-05,1e-05,3.04668,760.961,3.27662,0.00159548,0.00159548,0.00159548
4,21.6647,2.29461,11.5255,2.29276,0.00019,0.04167,3e-05,1e-05,2.62626,212.173,3.04053,0.00164225,0.00164225,0.00164225
5,25.9202,2.46711,53.3467,2.41402,0,0,0,0,3.68748,355.108,3.83587,0.00163399,0.00163399,0.00163399
6,30.1825,2.34856,64.6529,2.34434,0,0,0,0,3.37464,193.253,3.68008,0.00162574,0.00162574,0.00162574
7,34.3999,2.36745,62.8524,2.36531,0,0,0,0,2.93404,162.23,3.28971,0.00161749,0.00161749,0.00161749
8,38.7285,2.59801,32.0916,2.57316,0.00079,0.25,0.00042,0.00015,4.20421,514.642,4.44934,0.00160924,0.00160924,0.00160924
9,43.1383,2.67329,6.42735,2.65111,0,0,0,0,4.15132,3262.45,93.4149,0.00160099,0.00160099,0.00160099
10,47.4338,2.56646,4.89142,2.79929,0.625,0.26667,0.12319,0.02296,2.61764,131.414,3.2773,0.00159274,0.00159274,0.00159274
11,52.2567,2.64102,5.63009,3.04393,0.00019,0.08333,3e-05,1e-05,3.72324,103.81,5.15557,0.00158448,0.00158448,0.00158448
12,57.2297,2.52631,4.19526,2.71778,0.00055,0.04167,8e-05,1e-05,3.1576,117.146,4.34809,0.00157623,0.00157623,0.00157623
13,61.6687,2.23242,3.46397,2.71718,0.00383,0.45,0.01193,0.00581,2.50854,4.80008,3.45091,0.00156798,0.00156798,0.00156798
14,66.5149,2.24702,3.35116,2.68756,0.00159,0.33333,0.00266,0.00106,2.48564,4.52624,3.60987,0.00155973,0.00155973,0.00155973
15,72.1397,2.3933,3.27448,2.99911,0.00058,0.2,0.00026,0.00014,3.32302,417.231,9.67747,0.00155148,0.00155148,0.00155148
16,76.6169,2.23065,3.05067,2.6399,0.00019,0.06667,0.00011,2e-05,3.94415,10581.3,56.5217,0.00154323,0.00154323,0.00154323
17,80.8906,2.1125,3.08145,2.46898,0.01445,0.475,0.00729,0.00371,3.40884,1530.51,5.55698,0.00153497,0.00153497,0.00153497
18,85.3422,2.02313,2.87481,2.33561,0.79136,0.291,0.31078,0.13393,1.75784,18.5095,2.4995,0.00152672,0.00152672,0.00152672
19,89.7002,2.03835,2.68053,2.39385,0.61954,0.41667,0.20646,0.06434,2.48574,20.1355,3.45897,0.00151847,0.00151847,0.00151847
20,94.0507,2.04937,2.26529,2.37332,0.48098,0.525,0.60678,0.24307,1.90765,9.07386,2.53287,0.00151022,0.00151022,0.00151022
21,98.4313,2.02964,2.29485,2.31174,0.56438,0.64167,0.62209,0.23895,1.69153,5.04354,2.32683,0.00150197,0.00150197,0.00150197
22,103.18,2.0135,2.29053,2.40544,0.51651,0.7,0.61767,0.24814,1.44578,4.19469,2.12615,0.00149372,0.00149372,0.00149372
23,108.103,1.96753,2.20291,2.29927,0.46575,0.59167,0.62578,0.26565,1.59943,2.81438,2.272,0.00148546,0.00148546,0.00148546
24,112.442,1.83037,1.8224,2.17942,0.46574,0.575,0.57577,0.22874,1.72418,2.91367,2.26804,0.00147721,0.00147721,0.00147721
25,118.142,1.7902,1.78832,2.23213,0.45962,0.74101,0.59203,0.23844,1.67688,2.60913,2.29488,0.00146896,0.00146896,0.00146896
26,129.988,1.88088,1.83132,2.29925,0.4968,0.69167,0.67894,0.2418,1.63003,2.518,2.2271,0.00146071,0.00146071,0.00146071
27,150.945,1.84452,1.8189,2.25203,0.51852,0.71667,0.6863,0.23932,1.8038,3.34631,2.37037,0.00145246,0.00145246,0.00145246
28,157.719,1.75123,1.69735,2.19087,0.45827,0.87032,0.6803,0.2414,1.76584,3.68347,2.30573,0.00144421,0.00144421,0.00144421
29,162.122,1.62203,1.6442,2.09682,0.63856,0.75833,0.84685,0.32613,1.55061,2.56177,2.20531,0.00143595,0.00143595,0.00143595
30,205.617,1.84142,1.61276,2.23166,0.51003,0.72515,0.75565,0.32581,1.58302,2.12563,2.19733,0.0014277,0.0014277,0.0014277
31,438.459,1.73163,1.59184,2.09734,0.32469,0.825,0.70935,0.30495,1.7409,2.15073,2.35245,0.00141945,0.00141945,0.00141945
32,443.215,1.77196,1.68226,2.09203,0.6838,0.64327,0.69376,0.30507,1.75954,2.28862,2.25835,0.0014112,0.0014112,0.0014112
33,447.14,1.65978,1.53308,2.01075,0.76509,0.575,0.76552,0.37054,1.6846,1.9817,2.21568,0.00140295,0.00140295,0.00140295
34,451.522,1.6077,1.46525,2.03826,0.72993,0.625,0.78126,0.36304,1.82663,2.03294,2.29637,0.0013947,0.0013947,0.0013947
35,455.338,1.49525,1.33088,1.8361,0.72173,0.825,0.82188,0.41146,1.69417,1.99212,2.15479,0.00138644,0.00138644,0.00138644
36,459.854,1.62856,1.44979,1.96377,0.55099,0.95833,0.80632,0.41149,1.51092,1.7751,2.04177,0.00137819,0.00137819,0.00137819
37,464.267,1.57009,1.41728,1.96933,0.69957,0.87883,0.84173,0.39976,1.90156,1.41183,2.40309,0.00136994,0.00136994,0.00136994
38,468.525,1.56637,1.29771,1.93271,0.63804,0.86725,0.84496,0.44403,1.78332,1.27584,2.27686,0.00136169,0.00136169,0.00136169
39,472.997,1.58127,1.29939,1.96778,0.78478,0.88482,0.85504,0.41266,1.49261,1.40627,2.1146,0.00135344,0.00135344,0.00135344
40,477.132,1.50615,1.16801,1.87282,0.83443,0.8848,0.87025,0.48142,1.38849,1.55319,2.02973,0.00134519,0.00134519,0.00134519
41,481.968,1.4988,1.22732,1.82435,0.71007,0.87197,0.83656,0.45041,1.32898,1.36232,1.99001,0.00133693,0.00133693,0.00133693
42,486.604,1.52526,1.26033,1.92929,0.70143,0.88666,0.89043,0.46887,1.43483,1.25391,2.123,0.00132868,0.00132868,0.00132868
43,491.07,1.54791,1.19256,1.90295,0.76185,0.85958,0.86946,0.46991,1.53035,1.25166,2.20997,0.00132043,0.00132043,0.00132043
44,495.464,1.60944,1.23954,2.02721,0.71838,0.85833,0.83833,0.45756,1.5238,1.30981,2.20132,0.00131218,0.00131218,0.00131218
45,499.644,1.55723,1.22306,1.88447,0.72715,0.72918,0.89006,0.42437,1.73693,1.65771,2.36942,0.00130393,0.00130393,0.00130393
46,503.781,1.58557,1.26506,2.06154,0.70181,0.825,0.88682,0.47954,1.611,1.46842,2.1608,0.00129568,0.00129568,0.00129568
47,508.128,1.49276,1.2321,1.95244,0.88321,0.89139,0.91138,0.54084,1.47046,1.42327,2.01411,0.00128742,0.00128742,0.00128742
48,512.393,1.49914,1.25728,1.87425,0.9489,0.91501,0.93879,0.5268,1.45803,1.36826,2.00455,0.00127917,0.00127917,0.00127917
49,516.723,1.3796,1.10333,1.76722,0.84142,0.83814,0.9475,0.557,1.33614,1.20522,1.97629,0.00127092,0.00127092,0.00127092
50,521.04,1.37607,1.11509,1.77803,0.72626,0.85332,0.88727,0.49101,1.40666,1.18652,2.0266,0.00126267,0.00126267,0.00126267
51,525.183,1.38282,1.08095,1.70229,0.76079,0.925,0.89326,0.48019,1.46404,1.22409,2.0289,0.00125442,0.00125442,0.00125442
52,529.235,1.37879,1.12204,1.80976,0.86329,0.84167,0.92368,0.492,1.36286,1.18938,1.9675,0.00124617,0.00124617,0.00124617
53,533.552,1.3726,1.12362,1.79604,0.89361,0.87224,0.90336,0.58618,1.22498,1.20998,1.87748,0.00123791,0.00123791,0.00123791
