epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.16443,2.91772,6.3216,2.9468,0.01901,0.29167,0.0149,0.00258,3.42188,7.50856,3.36949,0.0003,0.0003,0.0703
2,11.1251,2.97607,6.07202,2.925,0.03178,0.125,0.01555,0.00329,3.58727,7.25782,3.63723,0.000630198,0.000630198,0.0372969
3,15.6203,2.51661,6.6492,2.39286,0.00065,0.29167,0.00048,0.00013,2.26354,1311.94,2.89703,0.000957097,0.000957097,0.00429043
4,20.3822,1.93829,7.82504,1.97979,0.00126,0.25,0.00089,0.00023,2.27824,239.385,2.88936,0.00098515,0.00098515,0.00098515
5,24.8185,1.88533,10.2287,1.93706,0.00048,0.04167,0.00041,0.00012,2.99096,412.479,3.45661,0.0009802,0.0009802,0.0009802
6,29.2117,1.77218,4.90413,1.97212,0.00013,0.04167,1e-05,0,3.62849,614.656,4.01806,0.00097525,0.00097525,0.00097525
7,33.7455,1.84559,4.37382,2.07808,0.00033,0.08333,0.00032,3e-05,3.37527,728.728,3.57669,0.0009703,0.0009703,0.0009703
8,38.3478,1.8703,3.75158,2.06138,0.525,0.04167,0.02121,0.00603,3.0037,1052.68,3.45323,0.00096535,0.00096535,0.00096535
9,43.1639,1.75852,3.66116,1.82281,0.00809,0.525,0.00646,0.00242,2.88454,11.4855,2.58414,0.0009604,0.0009604,0.0009604
10,47.5843,1.48086,2.91145,1.62779,0.66267,0.41667,0.15167,0.06638,2.88188,34.77,2.87579,0.00095545,0.00095545,0.00095545
11,52.0231,1.48149,2.47214,1.59113,0.17209,0.19167,0.05673,0.03014,2.78112,9.89756,3.29761,0.0009505,0.0009505,0.0009505
12,56.5857,1.44202,1.98274,1.56965,0.42105,0.49167,0.21247,0.11579,2.53946,9.01248,2.62757,0.00094555,0.00094555,0.00094555
13,60.9321,1.29716,1.6818,1.44182,0.41798,0.625,0.41734,0.23926,1.56919,6.80634,1.94285,0.0009406,0.0009406,0.0009406
14,65.3627,1.34096,1.582,1.50666,0.74671,0.8074,0.8,0.46041,1.3936,2.59502,1.84115,0.00093565,0.00093565,0.00093565
15,69.741,1.35494,1.67877,1.48935,0.86243,0.69167,0.74765,0.42898,1.48097,2.44408,1.70348,0.0009307,0.0009307,0.0009307
16,73.9506,1.31415,1.35135,1.44486,0.77592,0.53428,0.63504,0.43172,1.37094,2.64005,1.56059,0.00092575,0.00092575,0.00092575
17,78.3508,1.24722,1.30347,1.42669,0.94713,0.95575,0.9496,0.60237,1.24834,1.46371,1.40642,0.0009208,0.0009208,0.0009208
18,82.7753,1.22745,1.19736,1.34249,0.91878,0.9232,0.94671,0.60258,1.32337,1.31944,1.45244,0.00091585,0.00091585,0.00091585
19,87.0197,1.23244,1.18823,1.39965,0.99138,0.95112,0.95648,0.63205,1.27309,1.18746,1.42111,0.0009109,0.0009109,0.0009109
20,91.3777,1.2247,1.09088,1.40286,0.97772,0.95833,0.95674,0.65338,1.19813,1.15016,1.35818,0.00090595,0.00090595,0.00090595
21,96.1003,1.17778,1.0459,1.34004,0.95674,0.95833,0.95607,0.69222,1.08889,1.03536,1.32917,0.000901,0.000901,0.000901
22,100.417,1.1289,0.97393,1.35102,0.91301,0.88333,0.94042,0.64418,1.13826,0.94978,1.33578,0.00089605,0.00089605,0.00089605
23,104.744,1.17356,0.98563,1.34895,0.99208,0.9569,0.955,0.64161,1.13929,0.81482,1.35368,0.0008911,0.0008911,0.0008911
