epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.28542,2.90968,8.46093,3.06112,0.00598,0.04167,0.00497,0.00078,3.48394,8.1749,3.53264,0.0003,0.0003,0.0703
2,11.2683,3.02348,8.7474,2.95807,0.0011,0.41667,0.002,0.00055,3.63049,7.92427,3.72192,0.000630198,0.000630198,0.0372969
3,15.0829,2.65494,11.2341,2.71221,0.002,0.08333,0.00295,0.00088,2.6672,967.114,3.11192,0.000957097,0.000957097,0.00429043
4,19.5285,2.2071,14.7814,2.3405,0.50236,0.33333,0.00244,0.00063,2.611,282.078,2.91418,0.00098515,0.00098515,0.00098515
5,23.9002,2.23678,14.9341,2.32574,0.05354,0.29167,0.04162,0.01426,1.92497,8.01261,2.40428,0.0009802,0.0009802,0.0009802
6,28.5801,2.10653,18.3362,2.33919,0.50029,0.04167,5e-05,1e-05,2.69503,898.531,7.04529,0.00097525,0.00097525,0.00097525
7,33.1764,1.93602,6.34274,2.45353,0.00856,0.35,0.00665,0.00143,2.47279,375.078,3.45187,0.0009703,0.0009703,0.0009703
8,37.665,2.10525,3.98474,2.64458,0.01566,0.38333,0.02496,0.00442,1.95477,nan,3.10922,0.00096535,0.00096535,0.00096535
9,42.0282,1.92764,3.78289,2.45581,0.05445,0.29167,0.07444,0.02062,2.29344,389.085,3.22992,0.0009604,0.0009604,0.0009604
10,46.526,1.83993,3.45007,2.51564,0.07692,0.35,0.05853,0.02164,2.27113,40.423,2.8948,0.00095545,0.00095545,0.00095545
11,50.9456,1.71701,3.00981,2.28943,0.15393,0.325,0.16966,0.05745,2.55039,17.6959,3.10389,0.0009505,0.0009505,0.0009505
12,55.4491,1.58088,2.46833,2.30644,0.92202,0.51667,0.57854,0.34134,2.53244,13.9007,3.20368,0.00094555,0.00094555,0.00094555
